MonthId,DeltaNFP,NumTweets_all,NumPositive_all,NumNegative_all,NumNeutral_all,NumDistinctTweets_all,NumDistinctUsers_all,NumPopularTweets_all,NumVerifiedTweets_all,NumTweets_allold,NumPositive_allold,NumNegative_allold,NumNeutral_allold,NumDistinctTweets_allold,NumDistinctUsers_allold,NumPopularTweets_allold,NumVerifiedTweets_allold,NumTweets_opening,NumPositive_opening,NumNegative_opening,NumNeutral_opening,NumDistinctTweets_opening,NumDistinctUsers_opening,NumPopularTweets_opening,NumVerifiedTweets_opening,NumTweets_posting,NumPositive_posting,NumNegative_posting,NumNeutral_posting,NumDistinctTweets_posting,NumDistinctUsers_posting,NumPopularTweets_posting,NumVerifiedTweets_posting,NumTweets_opportunity,NumPositive_opportunity,NumNegative_opportunity,NumNeutral_opportunity,NumDistinctTweets_opportunity,NumDistinctUsers_opportunity,NumPopularTweets_opportunity,NumVerifiedTweets_opportunity,NumTweets_hiring,NumPositive_hiring,NumNegative_hiring,NumNeutral_hiring,NumDistinctTweets_hiring,NumDistinctUsers_hiring,NumPopularTweets_hiring,NumVerifiedTweets_hiring,NumTweets_hashtags,NumPositive_hashtags,NumNegative_hashtags,NumNeutral_hashtags,NumDistinctTweets_hashtags,NumDistinctUsers_hashtags,NumPopularTweets_hashtags,NumVerifiedTweets_hashtags
201208,96,21937,6763,1320,13854,2853,509,2544,21937,9272,3869,204,5199,733,256,862,9272,3426,317,57,3052,152,72,179,3426,964,315,15,634,114,36,158,964,962,764,72,126,131,71,135,962,4244,2517,60,1667,350,122,410,4244,13987,3821,1116,9050,2280,348,1845,13987
201209,114,23485,7455,1847,14183,3133,555,2806,23485,11903,3737,353,7813,687,279,1056,11903,4110,208,116,3786,165,79,160,4110,1035,524,0,511,95,37,153,1035,1994,1426,219,349,129,83,343,1994,4821,1587,18,3216,317,120,411,4821,14806,4178,1502,9126,2546,374,1904,14806
201210,171,25087,8839,1703,14545,3324,650,3201,25087,13076,4717,107,8252,905,326,1348,13076,4784,706,12,4066,219,91,307,4784,1594,214,9,1371,92,33,152,1594,2342,1877,46,419,184,102,374,2342,4366,1930,40,2396,427,150,520,4366,13469,5054,1640,6775,2572,437,2145,13469
201211,146,20988,6761,1452,12775,2786,569,2508,20988,6994,3231,196,3567,701,281,1037,6994,1284,283,25,976,178,73,149,1284,1330,379,30,921,94,25,185,1330,1201,909,42,250,121,81,248,1201,3203,1672,99,1432,320,142,463,3203,15219,4114,1293,9812,2223,393,1659,15219
201212,155,13878,6449,735,6694,2273,513,1807,13878,6971,3323,317,3331,671,282,863,6971,1524,391,9,1124,163,76,190,1524,748,199,92,457,85,32,128,748,1977,1469,213,295,145,94,218,1977,2773,1264,3,1506,290,116,340,2773,8254,4012,432,3810,1807,330,1111,8254
201301,157,18733,7493,1255,9985,2692,697,2364,18733,10204,4662,487,5055,844,417,1244,10204,2054,398,70,1586,157,92,175,2054,1338,421,321,596,125,44,216,1338,2590,1928,81,581,197,137,310,2590,4246,1919,15,2312,391,199,547,4246,9969,3720,796,5453,2036,429,1313,9969
201302,236,26636,13441,1799,11396,2838,752,3041,26636,17211,9901,368,6942,889,395,1657,17211,2150,472,124,1554,180,81,330,2150,2732,343,78,2311,152,55,334,2732,3103,2501,63,539,177,109,375,3103,9408,6684,103,2621,405,196,654,9408,11339,4831,1508,5000,2170,477,1680,11339
201303,88,20503,8235,1400,10868,3503,713,2833,20503,9602,4767,264,4571,810,380,1348,9602,1834,250,84,1500,192,89,294,1834,874,136,66,672,73,43,132,874,2606,2205,12,389,211,123,441,2606,4325,2180,102,2043,345,172,490,4325,12199,4309,1157,6733,2885,454,1693,12199
201304,165,25151,8947,2175,14029,4408,783,3089,25151,12685,4894,577,7214,982,421,1529,12685,3147,616,9,2522,239,130,370,3147,1553,288,387,878,122,45,252,1553,2552,1852,153,547,210,113,418,2552,5437,2142,28,3267,434,196,489,5437,14867,5621,1614,7632,3764,505,1890,14867
201305,175,51338,24191,2255,24892,17507,865,3381,51338,12504,6625,277,5602,1141,460,1313,12504,2418,770,91,1557,282,118,290,2418,1095,308,78,709,140,58,171,1095,3494,3043,24,427,205,137,260,3494,5518,2520,84,2914,530,205,592,5518,40932,18712,2014,20206,16714,556,2365,40932
