candidate	AggregationKey	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
hashtags	201112	650755	186617	33846	430292	642706	10671	2680	1507
hashtags	201201	891856	273572	44790	573494	863654	14596	8664	7053
hashtags	201202	810543	244465	36866	529212	773427	14779	12232	8115
hashtags	201203	875813	266457	38885	570471	835491	15401	11933	10420
hashtags	201204	842309	260537	39117	542655	789474	15692	13268	8192
hashtags	201205	974496	279827	55111	639558	914785	16710	15854	11517
hashtags	201206	759456	224950	35048	499458	727721	15718	11182	7761
hashtags	201207	830524	254213	38625	537686	795911	16717	11804	8458
hashtags	201208	1074264	342551	46456	685257	1013594	18661	20836	13987
hashtags	201209	1026426	313300	45442	667684	965684	18728	22887	14806
hashtags	201210	1155350	348372	50294	756684	1091002	20713	25991	13469
hashtags	201211	1045902	304422	67160	674320	944313	19236	22713	15219
hashtags	201212	901109	284719	43775	572615	865682	16926	15467	8254
hashtags	201301	1032105	339428	47665	645012	1001742	22052	15025	9969
hashtags	201302	970540	328840	45352	596348	931933	22291	22430	11339
hashtags	201303	964113	322725	43412	597976	919991	22742	27350	12199
hashtags	201304	1106435	365261	50227	690947	1060634	24369	27549	14867
hashtags	201305	1204266	400900	58194	745172	1138352	25603	29465	40932
hashtags	201306	992392	328027	52698	611667	931542	24238	28205	40966
hashtags	201307	1031671	336708	57799	637164	955161	26235	39734	36824
hashtags	201308	1165101	370461	64578	730062	1041602	27038	72032	36158
hashtags	201309	1258412	398088	65692	794632	1122178	25895	83755	32959
hashtags	201310	1333274	431923	71173	830178	1209650	21010	77067	31801
hashtags	201311	1281222	418808	66122	796292	1189587	20164	56628	27520
hashtags	201312	1291757	428027	65263	798467	1203719	18503	55551	26450
hashtags	201401	1492756	490790	82440	919526	1353992	23640	75296	36916
hashtags	201402	1453894	494480	86753	872661	1321671	22873	74824	36876
hashtags	201403	1826252	608904	119384	1097964	1661389	23818	86698	38182
hashtags	201404	1847718	634021	108060	1105637	1705237	24192	85176	29612
