"MonthId","DeltaNFP","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags","DeltaNFP_Delta","NumTweets_all_Delta","NumPositive_all_Delta","NumNegative_all_Delta","NumNeutral_all_Delta","NumDistinctTweets_all_Delta","NumDistinctUsers_all_Delta","NumPopularTweets_all_Delta","NumVerifiedTweets_all_Delta","NumTweets_allold_Delta","NumPositive_allold_Delta","NumNegative_allold_Delta","NumNeutral_allold_Delta","NumDistinctTweets_allold_Delta","NumDistinctUsers_allold_Delta","NumPopularTweets_allold_Delta","NumVerifiedTweets_allold_Delta","NumTweets_opening_Delta","NumPositive_opening_Delta","NumNegative_opening_Delta","NumNeutral_opening_Delta","NumDistinctTweets_opening_Delta","NumDistinctUsers_opening_Delta","NumPopularTweets_opening_Delta","NumVerifiedTweets_opening_Delta","NumTweets_posting_Delta","NumPositive_posting_Delta","NumNegative_posting_Delta","NumNeutral_posting_Delta","NumDistinctTweets_posting_Delta","NumDistinctUsers_posting_Delta","NumPopularTweets_posting_Delta","NumVerifiedTweets_posting_Delta","NumTweets_opportunity_Delta","NumPositive_opportunity_Delta","NumNegative_opportunity_Delta","NumNeutral_opportunity_Delta","NumDistinctTweets_opportunity_Delta","NumDistinctUsers_opportunity_Delta","NumPopularTweets_opportunity_Delta","NumVerifiedTweets_opportunity_Delta","NumTweets_hiring_Delta","NumPositive_hiring_Delta","NumNegative_hiring_Delta","NumNeutral_hiring_Delta","NumDistinctTweets_hiring_Delta","NumDistinctUsers_hiring_Delta","NumPopularTweets_hiring_Delta","NumVerifiedTweets_hiring_Delta","NumTweets_hashtags_Delta","NumPositive_hashtags_Delta","NumNegative_hashtags_Delta","NumNeutral_hashtags_Delta","NumDistinctTweets_hashtags_Delta","NumDistinctUsers_hashtags_Delta","NumPopularTweets_hashtags_Delta","NumVerifiedTweets_hashtags_Delta"
201307,162,49683,21366,4002,24315,12298,957,3898,49683,14993,7874,227,6892,1155,542,1577,14993,3013,1334,18,1661,263,127,327,3013,3022,1811,78,1133,114,62,174,3022,3387,2065,111,1211,281,179,470,3387,5741,2809,20,2912,517,248,617,5741,36824,15011,3783,18030,11421,580,2613,36824,-33,-5756,-5992,1366,-1130,-5355,53,-7,-5756,-1157,-1986,-227,1056,44,58,22,-1157,-1079,555,-255,-1379,-1,-2,-153,-1079,-2159,-2764,-60,665,12,8,21,-2159,1352,489,75,788,52,38,133,1352,867,-141,13,995,-13,33,32,867,-4142,-3611,1594,-2125,-5422,5,52,-4142
201308,169,56515,20925,3777,31813,9324,1043,6409,56515,24085,10325,403,13357,1175,550,2763,24085,7356,1416,223,5717,288,145,675,7356,1169,231,63,875,90,50,204,1169,7326,4377,86,2863,308,166,1050,7326,8454,4357,31,4066,522,254,846,8454,36158,13081,3390,19687,8475,659,4156,36158,7,6832,-441,-225,7498,-2974,86,2511,6832,9092,2451,176,6465,20,8,1186,9092,4343,82,205,4056,25,18,348,4343,-1853,-1580,-15,-258,-24,-12,30,-1853,3939,2312,-25,1652,27,-13,580,3939,2713,1548,11,1154,5,6,229,2713,-666,-1930,-393,1657,-2946,79,1543,-666
201309,148,56552,20799,2804,32949,9134,971,6223,56552,26201,10863,377,14961,1140,516,2603,26201,5526,1287,21,4218,247,118,575,5526,1393,429,37,927,127,70,267,1393,8438,3911,168,4359,273,152,753,8438,11331,5383,163,5785,531,250,1027,11331,32959,11492,2459,19008,8235,600,4041,32959,-21,37,-126,-973,1136,-190,-72,-186,37,2116,538,-26,1604,-35,-34,-160,2116,-1830,-129,-202,-1499,-41,-27,-100,-1830,224,198,-26,52,37,20,63,224,1112,-466,82,1496,-35,-14,-297,1112,2877,1026,132,1719,9,-4,181,2877,-3199,-1589,-931,-679,-240,-59,-115,-3199
201310,204,56986,22344,3692,30950,9242,827,5992,56986,28490,12948,608,14934,1160,462,2845,28490,6051,1542,102,4407,240,102,587,6051,1572,273,26,1273,108,49,211,1572,7583,5779,215,1589,237,140,707,7583,13409,5479,265,7665,606,224,1356,13409,31801,10971,3107,17723,8401,477,3664,31801,56,434,1545,888,-1999,108,-144,-231,434,2289,2085,231,-27,20,-54,242,2289,525,255,81,189,-7,-16,12,525,179,-156,-11,346,-19,-21,-56,179,-855,1868,47,-2770,-36,-12,-46,-855,2078,96,102,1880,75,-26,329,2078,-1158,-521,648,-1285,166,-123,-377,-1158
201311,203,48063,21703,2397,23963,8456,806,5311,48063,23590,13518,255,9817,1133,455,2509,23590,4988,1056,180,3752,267,138,708,4988,842,245,0,597,86,42,136,842,4784,3225,54,1505,267,147,750,4784,13206,9162,21,4023,554,190,953,13206,27520,10055,2154,15311,7686,463,3231,27520,-1,-8923,-641,-1295,-6987,-786,-21,-681,-8923,-4900,570,-353,-5117,-27,-7,-336,-4900,-1063,-486,78,-655,27,36,121,-1063,-730,-28,-26,-676,-22,-7,-75,-730,-2799,-2554,-161,-84,30,7,43,-2799,-203,3683,-244,-3642,-52,-34,-403,-203,-4281,-916,-953,-2412,-715,-14,-433,-4281
201312,74,43908,17294,2909,23705,7692,724,5845,43908,19644,8866,635,10143,1028,397,2785,19644,6759,1527,477,4755,261,115,711,6759,1102,476,12,614,104,41,225,1102,5366,3480,108,1778,250,127,920,5366,6433,3391,38,3004,454,152,933,6433,26450,9769,2282,14399,6941,422,3548,26450,-129,-4155,-4409,512,-258,-764,-82,534,-4155,-3946,-4652,380,326,-105,-58,276,-3946,1771,471,297,1003,-6,-23,3,1771,260,231,12,17,18,-1,89,260,582,255,54,273,-17,-20,170,582,-6773,-5771,17,-1019,-100,-38,-20,-6773,-1070,-286,128,-912,-745,-41,317,-1070
201401,113,69284,29399,4590,35295,8619,986,7692,69284,36398,16279,1794,18325,1447,581,3857,36398,11930,2083,1272,8575,410,158,1174,11930,1335,461,12,862,99,48,191,1335,7040,4501,468,2071,355,178,1014,7040,16293,9434,42,6817,626,261,1494,16293,36916,15795,2808,18313,7523,554,4467,36916,39,25376,12105,1681,11590,927,262,1847,25376,16754,7413,1159,8182,419,184,1072,16754,5171,556,795,3820,149,43,463,5171,233,-15,0,248,-5,7,-34,233,1674,1021,360,293,105,51,94,1674,9860,6043,4,3813,172,109,561,9860,10466,6026,526,3914,582,132,919,10466
201402,175,67560,31997,4364,31199,8597,981,7481,67560,34205,19879,829,13497,1349,601,3610,34205,7539,2062,13,5464,371,155,1098,7539,2107,683,105,1319,132,70,318,2107,12407,10150,669,1588,328,177,989,12407,12781,7314,42,5425,570,275,1283,12781,36876,14362,3539,18975,7536,510,4394,36876,62,-1724,2598,-226,-4096,-22,-5,-211,-1724,-2193,3600,-965,-4828,-98,20,-247,-2193,-4391,-21,-1259,-3111,-39,-3,-76,-4391,772,222,93,457,33,22,127,772,5367,5649,201,-483,-27,-1,-25,5367,-3512,-2120,0,-1392,-56,14,-211,-3512,-40,-1433,731,662,13,-44,-73,-40
201403,192,67853,27459,4479,35915,10116,1011,9529,67853,33907,15379,1700,16828,1527,634,3981,33907,8403,1893,684,5826,401,183,1075,8403,1258,365,42,851,117,48,264,1258,8590,5013,180,3397,319,178,1010,8590,15953,8232,794,6927,757,301,1671,15953,38182,14406,2931,20845,8975,512,6215,38182,17,293,-4538,115,4716,1519,30,2048,293,-298,-4500,871,3331,178,33,371,-298,864,-169,671,362,30,28,-23,864,-849,-318,-63,-468,-15,-22,-54,-849,-3817,-5137,-489,1809,-9,1,21,-3817,3172,918,752,1502,187,26,388,3172,1306,44,-608,1870,1439,2,1821,1306
201404,288,56987,22235,4162,30590,6390,1006,7177,56987,30913,12545,2202,16166,1375,587,3556,30913,9982,2861,1911,5210,369,160,856,9982,2242,521,153,1568,125,67,348,2242,7924,4824,93,3007,297,158,984,7924,10909,4444,45,6420,624,267,1400,10909,29612,11763,2017,15832,5400,563,4374,29612,96,-10866,-5224,-317,-5325,-3726,-5,-2352,-10866,-2994,-2834,502,-662,-152,-47,-425,-2994,1579,968,1227,-616,-32,-23,-219,1579,984,156,111,717,8,19,84,984,-666,-189,-87,-390,-22,-20,-26,-666,-5044,-3788,-749,-507,-133,-34,-271,-5044,-8570,-2643,-914,-5013,-3575,51,-1841,-8570
201405,217,64467,28334,4410,31723,7476,1067,8557,64467,34588,17148,2023,15417,1635,619,4180,34588,7463,1767,973,4723,368,146,1053,7463,3997,1123,711,2163,148,85,378,3997,8635,6043,279,2313,430,184,1257,8635,15218,8899,60,6259,743,267,1547,15218,36238,15035,2511,18692,6427,577,5563,36238,-71,7480,6099,248,1133,1086,61,1380,7480,3675,4603,-179,-749,260,32,624,3675,-2519,-1094,-938,-487,-1,-14,197,-2519,1755,602,558,595,23,18,30,1755,711,1219,186,-694,133,26,273,711,4309,4455,15,-161,119,0,147,4309,6626,3272,494,2860,1027,14,1189,6626
201406,288,71485,29369,5234,36882,7945,1364,8545,71485,38596,17844,1008,19744,1988,771,4197,38596,12971,3444,594,8933,405,215,942,12971,2406,633,42,1731,122,72,293,2406,9115,6499,117,2499,680,237,1500,9115,14280,7393,255,6632,814,356,1489,14280,38586,14958,4442,19186,6510,805,5576,38586,71,7018,1035,824,5159,469,297,-12,7018,4008,696,-1015,4327,353,152,17,4008,5508,1677,-379,4210,37,69,-111,5508,-1591,-490,-669,-432,-26,-13,-85,-1591,480,456,-162,186,250,53,243,480,-938,-1506,195,373,71,89,-58,-938,2348,-77,1931,494,83,228,13,2348
201407,209,79470,36566,4246,38658,8234,1146,9240,79470,45652,25160,788,19704,1731,679,4647,45652,13255,5139,237,7879,422,200,1288,13255,2338,339,348,1651,133,60,290,2338,7726,4918,58,2750,387,191,1161,7726,22593,14916,145,7532,826,318,1950,22593,38837,14392,3730,20715,6965,633,5529,38837,-79,7985,7197,-988,1776,289,-218,695,7985,7056,7316,-220,-40,-257,-92,450,7056,284,1695,-357,-1054,17,-15,346,284,-68,-294,306,-80,11,-12,-3,-68,-1389,-1581,-59,251,-293,-46,-339,-1389,8313,7523,-110,900,12,-38,461,8313,251,-566,-712,1529,455,-172,-47,251
201408,142,73206,27750,3293,42163,8493,1102,8831,73206,40929,17119,947,22863,1738,715,4719,40929,15032,2746,303,11983,461,221,1553,15032,1755,477,177,1101,114,76,299,1755,10865,6668,378,3819,426,177,1225,10865,13395,7318,89,5988,754,304,1667,13395,38776,15591,2390,20795,7302,537,5243,38776,-67,-6264,-8816,-953,3505,259,-44,-409,-6264,-4723,-8041,159,3159,7,36,72,-4723,1777,-2393,66,4104,39,21,265,1777,-583,138,-171,-550,-19,16,9,-583,3139,1750,320,1069,39,-14,64,3139,-9198,-7598,-56,-1544,-72,-14,-283,-9198,-61,1199,-1340,80,337,-96,-286,-61
201409,0,67345,31920,4040,31385,7654,1079,8192,67345,35638,21095,282,14261,1647,635,3997,35638,6884,1049,78,5757,326,141,907,6884,1250,488,54,708,108,60,245,1250,14282,12875,29,1378,508,192,1167,14282,13413,6810,121,6482,728,310,1695,13413,44282,21481,3842,18959,6548,580,5278,44282,-142,-5861,4170,747,-10778,-839,-23,-639,-5861,-5291,3976,-665,-8602,-91,-80,-722,-5291,-8148,-1697,-225,-6226,-135,-80,-646,-8148,-505,11,-123,-393,-6,-16,-54,-505,3417,6207,-349,-2441,82,15,-58,3417,18,-508,32,494,-26,6,28,18,5506,5890,1452,-1836,-754,43,35,5506
