candidate	AggregationKey	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
hashtags	201302	11339	4831	1508	5000	2170	477	1680	11339
hashtags	201303	12199	4309	1157	6733	2885	454	1693	12199
hashtags	201304	14867	5621	1614	7632	3764	505	1890	14867
hashtags	201305	40932	18712	2014	20206	16714	556	2365	40932
hashtags	201306	40966	18622	2189	20155	16843	575	2561	40966
hashtags	201307	36824	15011	3783	18030	11421	580	2613	36824
hashtags	201308	36158	13081	3390	19687	8475	659	4156	36158
hashtags	201309	32959	11492	2459	19008	8235	600	4041	32959
hashtags	201310	31801	10971	3107	17723	8401	477	3664	31801
hashtags	201311	27520	10055	2154	15311	7686	463	3231	27520
hashtags	201312	26450	9769	2282	14399	6941	422	3548	26450
hashtags	201401	36916	15795	2808	18313	7523	554	4467	36916
hashtags	201402	36876	14362	3539	18975	7536	510	4394	36876
hashtags	201403	38182	14406	2931	20845	8975	512	6215	38182
hashtags	201404	29612	11763	2017	15832	5400	563	4374	29612
hashtags	201405	36238	15035	2511	18692	6427	577	5563	36238
hashtags	201406	38586	14958	4442	19186	6510	805	5576	38586
hashtags	201407	38837	14392	3730	20715	6965	633	5529	38837
hashtags	201408	38776	15591	2390	20795	7302	537	5243	38776
hashtags	201409	44282	21481	3842	18959	6548	580	5278	44282
job opening	201101	129	6	3	120	12	7	20	129
job opening	201102	226	76	6	144	22	12	33	226
job opening	201103	172	13	0	159	7	7	10	172
job opening	201104	313	162	6	145	26	14	31	313
job opening	201105	85	23	0	62	13	11	7	85
job opening	201106	111	30	20	61	21	14	14	111
job opening	201107	142	43	0	99	29	13	20	142
job opening	201108	462	88	132	242	49	32	49	462
job opening	201109	367	19	0	348	35	27	28	367
job opening	201110	319	129	0	190	37	26	50	319
job opening	201111	610	45	24	541	35	20	24	610
job opening	201112	327	97	3	227	77	32	6	327
job opening	201201	511	175	27	309	97	43	36	511
job opening	201202	1440	193	54	1193	156	58	240	1440
job opening	201203	1686	233	143	1310	160	46	162	1686
job opening	201204	1564	219	51	1294	136	53	204	1564
job opening	201205	4781	1856	3	2922	119	62	167	4781
job opening	201206	2393	250	354	1789	147	57	158	2393
job opening	201207	1818	324	585	909	155	58	131	1818
