"MonthId","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags","NumTweets_all_Delta","NumPositive_all_Delta","NumNegative_all_Delta","NumNeutral_all_Delta","NumDistinctTweets_all_Delta","NumDistinctUsers_all_Delta","NumPopularTweets_all_Delta","NumVerifiedTweets_all_Delta","NumTweets_allold_Delta","NumPositive_allold_Delta","NumNegative_allold_Delta","NumNeutral_allold_Delta","NumDistinctTweets_allold_Delta","NumDistinctUsers_allold_Delta","NumPopularTweets_allold_Delta","NumVerifiedTweets_allold_Delta","NumTweets_opening_Delta","NumPositive_opening_Delta","NumNegative_opening_Delta","NumNeutral_opening_Delta","NumDistinctTweets_opening_Delta","NumDistinctUsers_opening_Delta","NumPopularTweets_opening_Delta","NumVerifiedTweets_opening_Delta","NumTweets_posting_Delta","NumPositive_posting_Delta","NumNegative_posting_Delta","NumNeutral_posting_Delta","NumDistinctTweets_posting_Delta","NumDistinctUsers_posting_Delta","NumPopularTweets_posting_Delta","NumVerifiedTweets_posting_Delta","NumTweets_opportunity_Delta","NumPositive_opportunity_Delta","NumNegative_opportunity_Delta","NumNeutral_opportunity_Delta","NumDistinctTweets_opportunity_Delta","NumDistinctUsers_opportunity_Delta","NumPopularTweets_opportunity_Delta","NumVerifiedTweets_opportunity_Delta","NumTweets_hiring_Delta","NumPositive_hiring_Delta","NumNegative_hiring_Delta","NumNeutral_hiring_Delta","NumDistinctTweets_hiring_Delta","NumDistinctUsers_hiring_Delta","NumPopularTweets_hiring_Delta","NumVerifiedTweets_hiring_Delta","NumTweets_hashtags_Delta","NumPositive_hashtags_Delta","NumNegative_hashtags_Delta","NumNeutral_hashtags_Delta","NumDistinctTweets_hashtags_Delta","NumDistinctUsers_hashtags_Delta","NumPopularTweets_hashtags_Delta","NumVerifiedTweets_hashtags_Delta"
201111,282804,63745,7937,211122,272508,10896,2319,3575,19109,4860,242,14007,16544,3763,419,916,6652,832,138,5682,5602,1079,108,610,7187,785,36,6366,6893,729,51,51,2984,2260,39,685,2481,1089,91,53,2324,1000,29,1295,1704,1159,171,202,268646,59812,7791,201043,261569,8351,1990,2743,-17966,-5726,-2198,-10042,-9915,-544,-2077,-4647,-1480,-1356,-33,-91,81,-235,-383,-822,467,-128,22,573,264,-17,-80,291,65,2,-42,105,259,-33,-35,-113,-542,-398,-18,-126,-255,-66,-68,-100,-1482,-839,5,-648,-176,-169,-207,-900,-16289,-4527,-2175,-9587,-9695,-278,-1769,-3912
201112,684059,197157,34188,452714,669876,14877,2990,2076,42429,12998,639,28792,38997,6096,394,745,12656,2661,370,9625,11674,1751,93,327,18759,2365,111,16283,18159,1188,58,97,7476,6193,96,1187,6290,1949,98,242,3624,1841,63,1720,3134,1874,146,79,650755,186617,33846,430292,642706,10671,2680,1507,401255,133412,26251,241592,397368,3981,671,-1499,23320,8138,397,14785,22453,2333,-25,-171,6004,1829,232,3943,6072,672,-15,-283,11572,1580,75,9917,11266,459,7,46,4492,3933,57,502,3809,860,7,189,1300,841,34,425,1430,715,-25,-123,382109,126805,26055,229249,381137,2320,690,-1236
201201,947790,293389,45592,608809,901706,21528,10293,10569,71514,24181,1174,46159,57647,10054,2005,3959,19589,4189,421,14979,17666,2636,370,511,24457,3107,150,21200,23245,1703,235,164,13741,11512,125,2104,10639,3181,489,790,13918,5490,479,7949,6513,3755,926,2509,891856,273572,44790,573494,863654,14596,8664,7053,263731,96232,11404,156095,231830,6651,7303,8493,29085,11183,535,17367,18650,3958,1611,3214,6933,1528,51,5354,5992,885,277,184,5698,742,39,4917,5086,515,177,67,6265,5319,29,917,4349,1232,391,548,10294,3649,416,6229,3379,1881,780,2430,241101,86955,10944,143202,220948,3925,5984,5546
201202,871964,268745,37719,565500,809217,22455,15867,11559,77470,28886,1126,47458,56581,10943,4221,3967,23526,4628,466,18432,17542,2890,996,1440,21962,3580,162,18220,20027,1765,498,270,16614,13720,303,2591,12078,3330,972,777,15684,7155,198,8331,7494,4219,1782,1484,810543,244465,36866,529212,773427,14779,12232,8115,-75826,-24644,-7873,-43309,-92489,927,5574,990,5956,4705,-48,1299,-1066,889,2216,8,3937,439,45,3453,-124,254,626,929,-2495,473,12,-2980,-3218,62,263,106,2873,2208,178,487,1439,149,483,-13,1766,1665,-281,382,981,464,856,-1025,-81313,-29107,-7924,-44282,-90227,183,3568,1062
201203,958451,312304,40827,605320,869550,23076,15083,15086,98273,50504,2202,45567,78343,11002,3761,5141,21989,4171,562,17256,16783,2726,809,1686,20056,3287,205,16564,18637,1784,422,280,41222,36267,1135,3820,35942,3402,964,1648,15224,6917,307,8000,7571,4411,1583,1547,875813,266457,38885,570471,835491,15401,11933,10420,86487,43559,3108,39820,60333,621,-784,3527,20803,21618,1076,-1891,21762,59,-460,1174,-1537,-457,96,-1176,-759,-164,-187,246,-1906,-293,43,-1656,-1390,19,-76,10,24608,22547,832,1229,23864,72,-8,871,-460,-238,109,-331,77,192,-199,63,65270,21992,2019,41259,62064,622,-299,2305
201204,935010,315342,40239,579429,822734,23441,16886,12907,107795,59517,1420,46858,85802,11071,4335,5265,21516,4519,414,16583,17015,2609,842,1564,20686,3111,523,17052,18187,1911,491,775,49192,44415,257,4520,43848,3410,1127,1061,17221,7672,231,9318,7313,4435,1923,1932,842309,260537,39117,542655,789474,15692,13268,8192,-23441,3038,-588,-25891,-46816,365,1803,-2179,9522,9013,-782,1291,7459,69,574,124,-473,348,-148,-673,232,-117,33,-122,630,-176,318,488,-450,127,69,495,7970,8148,-878,700,7906,8,163,-587,1997,755,-76,1318,-258,24,340,385,-33504,-5920,232,-27816,-46017,291,1335,-2228
201205,1092353,348523,56714,687116,948213,24874,20254,19914,132812,74636,1815,56361,99711,11735,5184,8961,39996,11375,430,28191,28152,2988,1037,4781,18907,3768,218,14921,16634,1788,567,682,55398,50494,705,4199,47865,3662,1336,1186,18817,9213,462,9142,7626,4698,2280,2348,974496,279827,55111,639558,914785,16710,15854,11517,157343,33181,16475,107687,125479,1433,3368,7007,25017,15119,395,9503,13909,664,849,3696,18480,6856,16,11608,11137,379,195,3217,-1779,657,-305,-2131,-1553,-123,76,-93,6206,6079,448,-321,4017,252,209,125,1596,1541,231,-176,313,263,357,416,132187,19290,15994,96903,125311,1018,2586,3325
201206,852878,278920,36699,537259,756458,22817,14369,12216,105720,58341,1767,45612,86346,10189,3785,4929,31392,7772,917,22703,25060,2777,835,2393,16077,2868,169,13040,14223,1593,397,439,44415,40638,439,3338,40801,3061,944,847,14126,7280,243,6603,6724,3909,1637,1265,759456,224950,35048,499458,727721,15718,11182,7761,-239475,-69603,-20015,-149857,-191755,-2057,-5885,-7698,-27092,-16295,-48,-10749,-13365,-1546,-1399,-4032,-8604,-3603,487,-5488,-3092,-211,-202,-2388,-2830,-900,-49,-1881,-2411,-195,-170,-243,-10983,-9856,-266,-861,-7064,-601,-392,-339,-4691,-1933,-219,-2539,-902,-789,-643,-1083,-215040,-54877,-20063,-140100,-187064,-992,-4672,-3756
201207,930626,308043,42401,580182,828840,24767,15408,13270,113433,58774,3904,50755,88366,11668,4228,5745,34445,8530,2531,23384,27512,3175,849,1818,19930,3705,284,15941,16415,2036,550,713,42235,37412,920,3903,37266,3432,1006,915,17160,9375,169,7616,7776,4453,1857,2319,830524,254213,38625,537686,795911,16717,11804,8458,77748,29123,5702,42923,72382,1950,1039,1054,7713,433,2137,5143,2020,1479,443,816,3053,758,1614,681,2452,398,14,-575,3853,837,115,2901,2192,443,153,274,-2180,-3226,481,565,-3535,371,62,68,3034,2095,-74,1013,1052,544,220,1054,71068,29263,3577,38228,68190,999,622,697
201208,1146127,368772,48081,729274,1055322,27665,25523,21937,90839,33755,1819,55265,62016,13149,5914,9272,26094,4639,401,21054,18248,3432,1221,3426,24205,4037,712,19456,21182,2009,672,964,16771,13609,246,2916,12675,3610,1289,962,24405,11710,462,12233,10287,5572,2793,4244,1074264,342551,46456,685257,1013594,18661,20836,13987,215501,60729,5680,149092,226482,2898,10115,8667,-22594,-25019,-2085,4510,-26350,1481,1686,3527,-8351,-3891,-2130,-2330,-9264,257,372,1608,4275,332,428,3515,4767,-27,122,251,-25464,-23803,-674,-987,-24591,178,283,47,7245,2335,293,4617,2511,1119,936,1925,243740,88338,7831,147571,217683,1944,9032,5529
