Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute,45.81072192,36.20686504,58.31534968,36.23105159,9,6,9,7,75.27133694,-107.5286631,235.3157594
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute,45.85911342,35.12695438,58.24415937,35.134076,9,6,9,7,74.690639,-108.109361,243.1642308
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute,46.01097689,36.79094726,58.40662542,36.80859621,9,6,9,7,72.86827735,-109.9317227,233.9789266
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_all_AbsoluteDelta,45.95754328,37.04564311,58.47654354,37.04748745,9,6,9,7,73.50948058,-109.2905194,231.2749524
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Month1_allold_AbsoluteDelta,45.56498476,34.22316703,58.33584199,34.22443969,9,6,9,7,78.22018293,-104.5798171,240.8013809
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta,46.26569807,34.20467661,59.06255749,34.22271988,9,6,9,7,69.81162319,-112.9883768,237.1617369
IJC+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta,45.28063042,33.49312711,58.22891107,33.50184971,9,6,9,7,81.63243495,-101.167565,239.5182088
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta,45.68404358,33.58787902,58.71794975,33.58968733,9,6,9,7,76.79147706,-106.0085229,235.6773934
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta,45.27400376,33.34472009,58.32430569,33.35996142,9,6,9,7,81.71195488,-101.0880451,239.7295902
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta,45.95668444,33.15934609,59.08665783,33.15959191,9,6,9,7,73.5197867,-109.2802133,237.0712539
