"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"20387",20387,"TwoMonthBefore_Revised+IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",44.3440227174172,29.689124585077,62.507545140276,30.8070879013789,9,6,9,7,92.8717273909931,-89.9282726090069,265.954799713699
"20417",20417,"TwoMonthBefore_Revised+IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",43.9865961596798,29.3062273016037,63.0344861361713,30.7897627545617,9,6,10,7,97.1608460838421,-85.6391539161579,262.674021043873
"20486",20486,"TwoMonthBefore_Revised+IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",43.6919947416032,25.609790669203,61.8398390379869,25.995650485519,9,6,10,7,100.696063100762,-82.1039368992381,284.606406287211
"20635",20635,"TwoMonthBefore_Revised+IJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",44.0675542120125,28.6808354494892,63.2739000501448,29.9200234449398,9,6,9,7,96.1893494558498,-86.6106505441502,264.457055748601
"22098",22098,"TwoMonthBefore_Revised+DeltaIJC+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta+NumPopularTweets_Week1_opening_AbsoluteDelta",38.3089689237436,22.4744657044394,53.7116589287002,23.1557139480328,9,7,10,9,165.292372915077,-17.507627084923,348.780380068882
"23742",23742,"OneMonthBefore_UnRevised+TwoMonthBefore_UnRevised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",44.2774803287928,30.0751364983777,59.4941081385332,30.1721692988492,8,6,10,8,93.6702360544861,-89.1297639455139,255.660839681653
"25480",25480,"OneMonthBefore_UnRevised+TwoMonthBefore_UnRevised+IJC+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",43.7601026329565,37.7707728813774,57.9157647171069,37.7744554442895,9,8,9,9,99.8787684045223,-82.9212315954777,232.433072271975
"25715",25715,"OneMonthBefore_UnRevised+TwoMonthBefore_UnRevised+IJC+NumTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",40.6297064020677,24.7893974517806,62.391054326437,24.7952318399098,9,8,10,9,137.443523175187,-45.3564768248129,190.228686904904
"26054",26054,"OneMonthBefore_UnRevised+TwoMonthBefore_UnRevised+IJC+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",44.9611361789035,19.6636721450789,62.8101265412952,19.6818077118044,9,6,9,7,85.4663658531578,-97.3336341468422,286.715341605248
"27000",27000,"OneMonthBefore_UnRevised+TwoMonthBefore_UnRevised+DeltaIJC+NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",42.685555626656,30.4535273556273,57.5677645027377,30.5789495014136,9,7,9,8,112.773332480128,-70.0266675198724,173.272942147652
"27246",27246,"OneMonthBefore_UnRevised+TwoMonthBefore_UnRevised+DeltaIJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",42.8313139994164,38.6266057295873,57.175036783599,38.6672047768248,8,6,9,7,111.024232007003,-71.7757679929967,208.234731671139
"27293",27293,"OneMonthBefore_UnRevised+TwoMonthBefore_UnRevised+DeltaIJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute+NumVerifiedTweets_Week1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",41.6122187539373,43.2796017055439,57.6677455353926,43.293751442905,8,6,9,7,125.653374952752,-57.1466250472477,207.366836269297
"27581",27581,"OneMonthBefore_UnRevised+TwoMonthBefore_UnRevised+DeltaIJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",44.077376110506,36.7580263369296,59.5883011975981,37.0337519170571,8,6,9,7,96.0714866739281,-86.7285133260719,207.172201016355
"28201",28201,"OneMonthBefore_Revised+TwoMonthBefore_Revised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute",42.8747557264056,34.0512514161219,58.2925044654007,36.1671549479771,8,7,9,8,110.502931283133,-72.2970687168669,287.4475685311
"28205",28205,"OneMonthBefore_Revised+TwoMonthBefore_Revised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute",43.7883031168372,31.3207824701627,59.5297189618094,31.8063854592791,8,7,9,8,99.5403625979538,-83.2596374020463,306.126208006953
"28230",28230,"OneMonthBefore_Revised+TwoMonthBefore_Revised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta+NumPopularTweets_Week1_opening_AbsoluteDelta",37.9638388060999,20.7951632981492,53.547280972191,22.0084508528391,9,7,10,8,169.433934326801,-13.3660656731989,357.758735835624
"28321",28321,"OneMonthBefore_Revised+TwoMonthBefore_Revised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",44.6346685289068,31.0310115594926,60.6684298398453,33.008398454736,8,6,10,8,89.3839776531186,-93.4160223468815,239.830774011887
"31267",31267,"OneMonthBefore_Revised+TwoMonthBefore_Revised+DeltaIJC+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute",44.5693890574504,33.4021638256775,59.8353303638261,33.416276122622,8,6,9,8,90.1673313105957,-92.6326686894044,286.276287202724
"31296",31296,"OneMonthBefore_Revised+TwoMonthBefore_Revised+DeltaIJC+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta+NumPopularTweets_Week1_opening_AbsoluteDelta",37.7366185909355,21.5980961698083,54.6977115488705,22.6477319902782,9,8,10,9,172.160576908774,-10.6394230912262,356.03499275055
