"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","35.1027144912226","14.0605763844335","54.4822033385879","14.5299901418383","9","8","10","9","119.767426105329","3.36742610532855","187.291811340398"
"2","mean","34.6065352771923","16.5409978623183","52.7779487988158","16.8754276555289","8","8","9","9","125.721576673692","9.32157667369228","192.556213451902"
