"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","30.8046877306762","17.8456276596616","44.596818153758","18.2329329388258","10","9","10","9","171.343747231886","54.9437472318861","211.834798478665"
"2","mean","36.355973951052","22.4776392524412","47.461758746292","22.6449091885487","8","6","9","7","104.728312587377","-11.6716874126235","205.857591038668"
