"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","35.7199164382364","14.4089375994848","54.2143043046367","14.5761358358368","9","7","9","8","97.5225302956534","1269.34231385687","195.342543886506"
"2","mean","35.9076540804338","14.9666200264235","53.9645555936113","15.0235761744186","10","7","10","8","48.1159452148337","52.2996410538965","201.573225224165"
