"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"2593","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_Log","45.1616959512252","32.0367706390843","61.1757804243027","32.1094210061253","5","5","7","8","123","119.2","188.061420903496"
"2594","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_LogDelta","46.9486941574932","35.1019011407317","63.0061562816953","35.2181101154529","5","6","7","9","123","137.2","181.77133558177"
"2595","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_LogDelta","45.423066110002","32.1109493750972","61.2936530157041","32.2997555639306","5","6","7","8","123","161.6","186.916454703685"
"2596","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month2_hashtags_Log","46.631519577631","35.4529582462768","63.0055248512585","35.4598801221595","5","5","7","8","123","119.2","184.489152041357"
"2597","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month2_hashtags_LogDelta","45.7545474245505","28.2874546676029","64.1030994082008","28.3110847472607","5","6","7","9","123","163.2","180.095206084483"
"2598","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_LogDelta","43.0061650996778","23.5970023592523","62.2433510241975","23.6520987711036","6","5","7","8","145","145.2","185.885635449258"
"2599","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log","45.4886400827692","32.0323501667324","61.3848616400119","32.2528361096637","5","6","7","8","123","161.6","186.782070496322"
"2600","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","45.7351541937805","28.1240548972311","64.3525703422598","28.2187022222937","5","6","7","9","123","163.2","180.054392873926"
"2601","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log+NumDistinctUsers_Month1_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","47.0641745821925","17.4788529358777","68.2214610643118","17.7373322973255","6","5","7","9","30","145.2","186.934965930723"
"2602","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Week1_hashtags_Log","46.5297825624165","34.3144462391752","62.8048623895897","34.3388331122117","5","5","7","8","123","119.2","183.251358701958"
"2603","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Week1_hashtags_LogDelta","47.2966088424017","34.7242193181553","63.7819802076205","34.7740025834581","5","6","7","9","123","137.2","179.632610043511"
"2604","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_LogDelta","47.4119583030094","34.9544569505607","63.7399348579504","35.0070801002187","5","6","7","9","123","137.2","181.089321381224"
"2605","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log","46.1287453579202","34.8709687622691","60.4383969550799","34.9062123783134","5","5","7","7","123","145.2","194.77124667443"
"2606","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","46.8477050365691","36.0034341048041","62.5643270315515","36.199664604448","5","6","7","8","123","161.6","187.343406984891"
