"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction"
"1","median","9.37964520605241","7.93218331389094","11.6621311944395","7.93232044055392","26","26","12.8327725821131","-8.58613860678605"
"2","mean","9.56728782005566","7.66798995482518","11.6630612959157","7.69375331333973","20","20","6.07763847799639","-7.5606879643525"
