"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction"
"1","median","9.7823507906255","9.56302517556685","11.9259472588367","9.56771659038623","25","26","-1.66462846251812","-7.95173253146706"
"2","mean","9.69353974381828","9.43981943668871","11.7979984061806","9.44542044630731","23","24","1.53256922254204","-6.42853034799732"
