MonthId,Autos,Bus,ClothesAndShoes,Commerce,ConsumerElectronics,Education,Finance,Flight,Health,Hotel,Jobs,Nightlife,Nutrition,RealEstate,Restaurant,Sports,TravelGuide,University
201301,39530.7,1212.764,9885.684,1027749,9387.638,13185.43,70480.26,2828.78,45368.82,11507.72,10329.56,2273.557,118.869,1406.867,13651.87,5641.009,6900.418,7094.52
201302,39935.63,1266.239,7138.189,1009402,7438.158,19079.86,68577.32,3594.313,49399.24,12842.9,15108.59,2191.363,161.9299,1725.483,13318.07,5643.656,9690.576,8380.537
201303,38878.82,1428.07,7510.331,1000516,7046.453,14701.13,68418.43,3505.008,50992.89,14104.12,12474.24,2351.621,147.1515,1576.623,14757.19,6086.465,9096.764,7939.172
201304,37407.54,1510.339,8364.055,937235.6,6680.846,13197.92,63374.45,3259.837,49982.87,12516.84,14007.68,2210.918,132.5771,1416.755,13914.1,5482.453,8838.473,7725.865
201305,34569.65,1457.601,8570.642,923991.8,6346.661,15797.04,62126.06,3012.539,49771.57,12524.52,10569.14,2235.07,125.6765,1510.582,12858.43,5818.081,8167.738,8361.181
201306,33787.35,1510.406,7596.311,960307.3,6379.868,14005.7,64804.8,2938.405,45341.71,12451.01,9361.322,2325.878,121.7673,1351.74,12727.76,5419.26,8524.941,7326.947
201307,33468.74,1368.491,6558.631,933967.9,6667.897,11047.87,44359.37,3087.433,38003.28,11756.77,9374.231,2221.3,134.5838,1131.304,11167.79,4531.878,7707.257,5733.805
201308,33226.46,1363.173,6171.561,827422.6,6212.34,11684.84,38467.11,2839.361,35661.53,13635.22,9319.675,2087.868,124.6662,1540.269,11160.54,4405.262,7390.261,6378.95
201309,32448.94,1219.69,6681.728,735525.9,5788.721,11917.69,41178.94,2610.068,34635.11,10855.12,8713.037,2082.176,116.4301,1184.648,10946.69,4232.176,6151.576,6818.506
201310,30959.43,995.3395,6276.66,789659.6,5707.557,10006.53,51232.24,2552.697,36946.81,10271.01,8793.936,1923.378,95.6376,1074.447,10598.06,3766.468,5816.183,5510.379
201311,30255.48,969.156,5979.16,809325,5679.624,9885.854,54869.49,2535.071,39247.35,9794.489,7937.133,1873.547,93.67737,1132.224,11159.17,3664.982,5632.207,5472.609
201312,29957.22,987.039,6377.433,754198.9,5419.425,9563.828,55168.52,2451.341,37437.81,9152.755,6877.92,1839.376,96.38146,1041.617,11141.93,4088.664,5334.656,5753.857
201401,26697.3,969.3194,6327.562,695934.6,5332.336,8574.915,53069.7,2139.411,34490.72,9742.848,6411.757,1886.827,92.83015,888.3629,11010.09,3910.74,5669.115,4914.601
201402,27091.72,916.6257,4764.042,699116.1,4941.939,13771.5,53681.9,2875.511,38468.13,10700,8073.744,2128.743,143.7253,1111.61,11348.27,3780.076,7163.149,7151.088
201403,30050.74,872.1102,5467.041,728204.4,4551.325,12610.71,58480.44,2973.896,39532.76,11189.17,7096.797,2160.653,140.6278,1172.988,12216.08,3376.157,7126.231,6219.236
201404,28974,908,5959,709719,4370,11709,55996,2790,38723,10802,6753,2095,135,1180,11622,3317,6800,5976
201405,28109.51,932.2806,6168.52,720829.5,4095.973,12530.39,57932.04,2732.042,39515.32,10612.53,6623.164,1961.761,152.593,1195.66,11450.75,3790.787,6620.028,5827.799
201406,27210.12,915.7252,5906.376,709594.3,4172.782,11738.59,62949.16,2835.761,37405.68,11442.96,6574.887,2167.251,115.367,1098.046,11559.36,3990.461,6600.638,5322.331
201407,26117.79,799.0829,5118.888,613102,4001.902,10281.03,41965.37,2996.29,33251.15,10488.64,6472.679,1958.24,134.0816,994.7987,10942.79,3328.25,6033.67,4553.367
201408,27839.17,935.0285,4904.968,583312.6,4398.142,11200.99,33197.75,2895.806,31851.45,10767.95,6640.759,2184.556,93.13997,1153.968,11118.73,3297.397,6354.081,4857.794
