MonthId,NumTweets_Month1_Absolute,NumDistinctTweets_Month1_Absolute,NumDistinctUsers_Month1_Absolute,NumPopularTweets_Month1_Absolute,NumVerifiedTweets_Month1_Absolute,NumTweets_Month2_Absolute,NumDistinctTweets_Month2_Absolute,NumDistinctUsers_Month2_Absolute,NumPopularTweets_Month2_Absolute,NumVerifiedTweets_Month2_Absolute,NumTweets_Week1_Absolute,NumDistinctTweets_Week1_Absolute,NumDistinctUsers_Week1_Absolute,NumPopularTweets_Week1_Absolute,NumVerifiedTweets_Week1_Absolute,NumTweets_Week2_Absolute,NumDistinctTweets_Week2_Absolute,NumDistinctUsers_Week2_Absolute,NumPopularTweets_Week2_Absolute,NumVerifiedTweets_Week2_Absolute,NumTweets_Month1_Log,NumDistinctTweets_Month1_Log,NumDistinctUsers_Month1_Log,NumPopularTweets_Month1_Log,NumVerifiedTweets_Month1_Log,NumTweets_Month2_Log,NumDistinctTweets_Month2_Log,NumDistinctUsers_Month2_Log,NumPopularTweets_Month2_Log,NumVerifiedTweets_Month2_Log,NumTweets_Week1_Log,NumDistinctTweets_Week1_Log,NumDistinctUsers_Week1_Log,NumPopularTweets_Week1_Log,NumVerifiedTweets_Week1_Log,NumTweets_Week2_Log,NumDistinctTweets_Week2_Log,NumDistinctUsers_Week2_Log,NumPopularTweets_Week2_Log,NumVerifiedTweets_Week2_Log,NumTweets_Month1_Delta,NumDistinctTweets_Month1_Delta,NumDistinctUsers_Month1_Delta,NumPopularTweets_Month1_Delta,NumVerifiedTweets_Month1_Delta,NumTweets_Month2_Delta,NumDistinctTweets_Month2_Delta,NumDistinctUsers_Month2_Delta,NumPopularTweets_Month2_Delta,NumVerifiedTweets_Month2_Delta,NumTweets_Week1_Delta,NumDistinctTweets_Week1_Delta,NumDistinctUsers_Week1_Delta,NumPopularTweets_Week1_Delta,NumVerifiedTweets_Week1_Delta,NumTweets_Week2_Delta,NumDistinctTweets_Week2_Delta,NumDistinctUsers_Week2_Delta,NumPopularTweets_Week2_Delta,NumVerifiedTweets_Week2_Delta,NumTweets_Month1_LogDelta,NumDistinctTweets_Month1_LogDelta,NumDistinctUsers_Month1_LogDelta,NumPopularTweets_Month1_LogDelta,NumVerifiedTweets_Month1_LogDelta,NumTweets_Month2_LogDelta,NumDistinctTweets_Month2_LogDelta,NumDistinctUsers_Month2_LogDelta,NumPopularTweets_Month2_LogDelta,NumVerifiedTweets_Month2_LogDelta,NumTweets_Week1_LogDelta,NumDistinctTweets_Week1_LogDelta,NumDistinctUsers_Week1_LogDelta,NumPopularTweets_Week1_LogDelta,NumVerifiedTweets_Week1_LogDelta,NumTweets_Week2_LogDelta,NumDistinctTweets_Week2_LogDelta,NumDistinctUsers_Week2_LogDelta,NumPopularTweets_Week2_LogDelta,NumVerifiedTweets_Week2_LogDelta
201201,783288,697736,182596,11258,1368,150174,141987,97716,4061,230,388644,311385,60625,6609,1015,82787,79374,47395,1771,190,13.57125572,13.45559609,12.11503134,9.328834266,7.221105098,11.9195499,11.86349078,11.48982059,8.309184528,5.438079309,12.87041904,12.64878537,11.01246263,8.796187635,6.922643891,11.32402632,11.28192614,10.76627202,7.479299638,5.247024072,632632,555353,84671,7156,1138,76150,73518,45986,1833,-274,353505,278111,37876,5617,961,33340,32290,15352,493,101,1.648501352,1.589320198,0.623074183,1.009604327,1.783025789,0.707405257,0.729354416,0.636027428,0.600324927,-0.784496959,2.403352133,2.236253777,0.980186161,1.896464528,2.933659845,0.515369655,0.522237618,0.391437987,0.326248003,0.758387702
201202,766072,483067,193574,27104,2406,766507,689539,176652,10129,1151,220633,78202,49748,7611,784,141766,105944,47704,6390,410,13.54903144,13.08791064,12.17341515,10.2074366,7.785720897,13.54959911,13.44377854,12.08193697,9.223157876,7.048386409,12.30425597,11.2670505,10.81472554,8.937349848,6.66440902,11.86193309,11.57066593,10.77277053,8.762489547,6.01615716,-17216,-214669,10978,15846,1038,616333,547552,78936,6068,921,-168011,-233183,-10877,1002,-231,58979,26570,309,4619,220,-0.022224284,-0.367685447,0.058383806,0.878602331,0.564615798,1.630049209,1.580287754,0.592116383,0.913973348,1.6103071,-0.56616307,-1.381734866,-0.197737087,0.141162213,-0.258234871,0.537906767,0.288739794,0.006498514,1.28318991,0.769133088
201203,1027525,795955,195396,24514,3058,757562,472221,192980,27261,2473,441622,376072,56062,6197,678,426541,383983,56117,6275,675,13.84266356,13.58729793,12.18278355,10.10699966,8.025516386,13.53786066,13.06520238,12.17034184,10.21321239,7.813187268,12.99820959,12.83753589,10.9342135,8.731820583,6.519147288,12.96346377,12.85835356,10.93519408,8.744328764,6.514712691,261453,312888,1822,-2590,652,-8945,-217318,16328,17132,1322,220989,297870,6314,-1414,-106,284775,278039,8413,-115,265,0.293632117,0.499387291,0.0093684,-0.100436936,0.23979549,-0.011738448,-0.378576162,0.088404861,0.990054513,0.764800859,0.693953625,1.570485392,0.119487959,-0.205529265,-0.145261732,1.101530683,1.287687628,0.162423545,-0.018160783,0.498555531
201204,2689497,487158,177339,26895,2361,1027525,795955,195396,24514,3058,190252,94187,48588,7406,506,223870,94323,46348,6762,724,14.80486475,13.09634378,12.08581843,10.19969567,7.766840537,13.84266356,13.58729793,12.18278355,10.10699966,8.025516386,12.15610479,11.45303745,10.79113187,8.910045761,6.226536669,12.31882081,11.45448034,10.74393342,8.819073983,6.584791392,1661972,-308797,-18057,2381,-697,269963,323734,2416,-2747,585,-251370,-281885,-7474,1209,-172,-202671,-289660,-9769,487,49,0.962201189,-0.490954146,-0.096965114,0.092696013,-0.258675849,0.304802895,0.522095555,0.012441712,-0.106212726,0.212329119,-0.842104803,-1.384498447,-0.143081634,0.178225179,-0.292610619,-0.644642967,-1.403873218,-0.191260656,0.074745219,0.070078702
201205,1395275,456104,192367,28707,2867,2643371,462260,179234,27557,2155,692245,118135,50504,7927,637,611392,89227,47002,7434,574,14.14860209,13.03047613,12.16716028,10.26489627,7.961021466,14.78756555,13.04388278,12.09644749,10.22401187,7.675546003,13.44769522,11.67958332,10.82980782,8.978029933,6.456769656,13.3234936,11.39893896,10.75794543,8.913819351,6.352629396,-1294222,-31054,15028,1812,506,1615846,-333695,-16162,3043,-903,501993,23948,1916,521,131,387522,-5096,654,672,-150,-0.656262659,-0.065867652,0.081341851,0.0652006,0.194180929,0.944901999,-0.543415148,-0.086336054,0.117012204,-0.349970384,1.29159043,0.226545871,0.038675954,0.067984171,0.230232986,1.004672798,-0.055541378,0.014012013,0.094745368,-0.232161996
201206,1037874,308933,174953,24023,1484,1395275,456104,192367,28707,2867,134980,76551,42893,5497,485,140707,77885,44142,5757,273,13.85268495,12.6408797,12.07227265,10.08676698,7.302496424,14.14860209,13.03047613,12.16716028,10.26489627,7.961021466,11.8128819,11.24571246,10.66646392,8.611957768,6.184148891,11.85443499,11.26298866,10.69516699,8.658171785,5.609471795,-357401,-147171,-17414,-4684,-1383,-1248096,-6156,13133,1150,712,-557265,-41584,-7611,-2430,-152,-470685,-11342,-2860,-1677,-301,-0.295917138,-0.389596429,-0.094887639,-0.178129291,-0.658525042,-0.638963468,-0.01340665,0.070712791,0.040884409,0.285475463,-1.63481332,-0.433870853,-0.163343899,-0.366072165,-0.272620765,-1.469058611,-0.135950305,-0.062778444,-0.255647566,-0.743157601
201207,1671626,317361,187085,24841,1718,1005515,299734,169441,22779,1351,1148052,77562,46348,7659,412,228035,83128,49308,7150,669,14.32930736,12.66779521,12.13931834,10.12025079,7.448916103,13.82101041,12.61065069,12.04026006,10.03359434,7.208600338,13.95357715,11.2588329,10.74393342,8.943636706,6.021023349,12.3372544,11.32813687,10.80584162,8.874867636,6.50578406,633752,8428,12132,818,234,-389760,-156370,-22926,-5928,-1516,1013072,1011,3455,2162,-73,87328,5243,5166,1393,396,0.476622415,0.026915502,0.067045693,0.033483809,0.146419679,-0.32759168,-0.419825439,-0.126900222,-0.231301937,-0.752421128,2.140695253,0.013120431,0.077469499,0.331678938,-0.163125542,0.482819412,0.065148209,0.11067463,0.216695851,0.896312265
201208,574881,307232,185628,29401,3538,1682947,325560,193329,25522,1792,123689,66966,42255,7703,1048,120844,67639,41430,7390,557,13.26191834,12.63535844,12.13149995,10.28878397,8.171316875,14.33605698,12.69330206,12.17214868,10.1472961,7.491087594,11.72552563,11.11194031,10.65147797,8.949365142,6.954638865,11.70225574,11.12194002,10.63176054,8.907883014,6.32256524,-1096745,-10129,-1457,4560,1820,677432,25826,23888,2743,441,-1024363,-10596,-4093,44,636,-107191,-15489,-7878,240,-112,-1.067389022,-0.032436765,-0.007818388,0.168533173,0.722400772,0.515046575,0.082651362,0.131888617,0.113701766,0.282487256,-2.228051521,-0.146892589,-0.092455451,0.005728436,0.933615516,-0.634998668,-0.206196849,-0.174081084,0.033015378,-0.18321882
201209,2926762,339886,185971,33308,4290,574881,307232,185628,29401,3538,157291,101289,51627,8187,750,258656,90287,48395,8534,961,14.88940725,12.73636555,12.13334603,10.41355289,8.364042012,13.26191834,12.63535844,12.13149995,10.28878397,8.171316875,11.96585287,11.5257331,10.85180007,9.010302809,6.620073207,12.46325427,11.41074876,10.78715178,9.051813464,6.867974409,2351881,32654,343,3907,752,-1108066,-18328,-7701,3879,1746,33602,34323,9372,484,-298,137812,22648,6965,1144,404,1.627488909,0.101007105,0.001846077,0.124768921,0.192725137,-1.074138639,-0.057943614,-0.04064873,0.141487862,0.680229281,0.240327242,0.413792789,0.200322101,0.060937667,-0.334565658,0.760998536,0.288808746,0.155391247,0.14393045,0.545409169
201210,1924258,390990,218657,39193,5719,2932435,346342,188787,33813,4346,272382,103853,59401,10518,1416,1310014,92727,55895,11324,2637,14.470051,12.87643726,12.29525957,10.57625344,8.651549244,14.89134369,12.75518201,12.14837467,10.42860062,8.377011161,12.51496077,11.55073172,10.99206634,9.260843354,7.255591274,14.08554838,11.43741497,10.93123021,9.334679646,7.877397186,-1002504,51104,32686,5885,1429,2357554,39110,3159,4412,808,115091,2564,7774,2331,666,1051358,2440,7500,2790,1676,-0.419356254,0.140071717,0.161913544,0.162700551,0.287507232,1.629425352,0.119823564,0.016874724,0.139816657,0.205694286,0.5491079,0.024998621,0.14026627,0.250540545,0.635518068,1.62229411,0.026666207,0.144078428,0.282866182,1.009422777
