MonthId_Log,NumTweets_Month1_Log,NumDistinctTweets_Month1_Log,NumDistinctUsers_Month1_Log,NumPopularTweets_Month1_Log,NumVerifiedTweets_Month1_Log,NumTweets_Month2_Log,NumDistinctTweets_Month2_Log,NumDistinctUsers_Month2_Log,NumPopularTweets_Month2_Log,NumVerifiedTweets_Month2_Log,NumTweets_Week1_Log,NumDistinctTweets_Week1_Log,NumDistinctUsers_Week1_Log,NumPopularTweets_Week1_Log,NumVerifiedTweets_Week1_Log,NumTweets_Week2_Log,NumDistinctTweets_Week2_Log,NumDistinctUsers_Week2_Log,NumPopularTweets_Week2_Log,NumVerifiedTweets_Week2_Log
201210,14.470051,12.87643726,12.29525957,10.57625344,8.651549244,14.89134369,12.75518201,12.14837467,10.42860062,8.377011161,12.51496077,11.55073172,10.99206634,9.260843354,7.255591274,14.08554838,11.43741497,10.93123021,9.334679646,7.877397186
201211,14.05180881,12.76449916,12.2364127,10.53987918,8.056743775,14.470051,12.87643726,12.29525957,10.57625344,8.651549244,11.82758291,11.2445884,10.73107821,9.008713664,6.244166901,12.23709639,11.44842961,10.9219738,9.255409335,7.009408933
201212,13.04634589,12.69699654,12.13614898,9.771383712,8.049746291,14.0408006,12.73764751,12.21133378,10.50561533,8.041091004,11.33061191,11.2836255,10.67643895,7.537430037,6.309918278,11.53050995,11.43054336,10.88232107,8.117908942,6.881411304
201301,12.9524596,12.83317884,12.32010198,9.13905917,8.130942302,13.03912089,12.69603208,12.13096109,9.751210117,8.02975852,11.67835515,11.61839297,11.13146005,8.016317899,6.876264612,12.01362802,11.79231323,11.39239491,8.03592637,7.11395611
201302,12.99656884,12.9201101,12.42601909,9.500544262,8.913146539,12.89879223,12.77892332,12.26030038,9.039789271,8.041412909,11.64754377,11.56566971,11.12967185,8.29154651,7.24636808,11.63985763,11.55010564,11.07279127,8.221210094,8.099250562
201303,13.01251056,12.92222321,12.51074088,9.6154054,8.245909265,12.99538419,12.91942678,12.42756283,9.506362569,8.902591637,11.57377594,11.48701261,11.04790142,8.198089249,6.519147288,11.58611087,11.5051352,11.11413304,8.185350223,7.041411664
201304,12.90178653,12.82922645,12.33326461,9.526755663,8.245646901,13.01251056,12.92222321,12.51074088,9.6154054,8.245909265,11.70944574,11.64991836,11.14162987,8.24617156,6.777646594,11.73582899,11.67299289,11.17703306,8.231376046,6.852242569
201305,13.02112989,12.95462379,12.43984748,9.592127353,8.592857095,12.92344892,12.85093778,12.35775886,9.55080463,8.269756948,11.65373903,11.58810715,11.0553246,8.235890726,6.879355804,11.67661621,11.60854469,11.09877273,8.258940463,7.454719949
201306,12.90932114,12.83512121,12.35076589,9.563107691,8.316300249,13.02112989,12.95462379,12.43984748,9.592127353,8.592857095,11.35356624,11.26876255,10.88766121,8.178919333,6.938284484,11.49497532,11.412265,10.97855823,8.253227646,6.996681488
201307,12.81706301,12.72752956,12.3580252,9.657459129,8.544029845,12.90504781,12.83035195,12.35263748,9.567665105,8.321421587,11.48401145,11.37415753,11.02607675,8.580355766,7.142036575,11.49096611,11.3866477,11.03756351,8.419800845,7.255591274
201308,12.95709951,12.78353958,12.38619178,10.28834171,8.934059722,12.82114476,12.72933857,12.36002045,9.674074388,8.561592779,11.60820837,11.42178558,11.03104357,8.940367233,7.530479995,11.56777343,11.39929753,10.97328876,8.868976189,7.436027816
201309,12.95726465,12.77163926,12.35491067,10.45108859,9.179365568,12.95709951,12.78353958,12.38619178,10.28834171,8.934059722,11.70325653,11.51587112,11.04397728,9.221675882,7.874739125,11.75817487,11.56839801,11.08943894,9.30637756,8.054204897
201310,12.86745564,12.66250333,12.16525065,10.42815691,9.064967719,12.98176018,12.79561333,12.37775447,10.48116776,9.206934579,11.5355672,11.34326344,10.80592274,8.908424139,7.726653665,11.50134871,11.25472452,10.75579428,9.061144066,8.02975852
