#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
additive manufacturing Europe	201407	-37.7375209001766	-0.0646190426372887	584	3796.10426268795	138	27	419	0	376	200	119	6
additive manufacturing Europe	201408	-9.21067433352091	-0.017644969987588	522	3227.30874511817	139	12	371	0	352	139	88	1
additive manufacturing Europe	201409	-11.8859887613295	-0.0184565042877787	644	4254.12293746359	188	15	441	0	419	186	118	0
additive manufacturing Europe	201410	-44.6444778942151	-0.0619202189933635	721	4966.19596142162	182	16	523	0	460	194	132	0
additive manufacturing Europe	201411	-6.50192096832185	-0.00877452222445594	741	5016.17597317477	178	17	546	0	471	214	155	1
additive manufacturing Europe	201412	-12.0856692723493	-0.147386210638407	82	543.271786094158	10	1	71	0	44	29	13	0
additive manufacturing LatinAmerica	201301	-2.7295586331081	-0.545911726621619	5	24.6192345186033	0	0	5	0	5	5	0	0
additive manufacturing LatinAmerica	201302	-0.72644913745888	-0.36322456872944	2	9.01237711919227	0	0	2	0	2	2	0	0
additive manufacturing LatinAmerica	201303	-1.80608437280787	-0.903042186403934	2	8.83083536553755	0	1	1	0	2	2	0	0
additive manufacturing LatinAmerica	201304	1.71622344443062	0.429055861107654	4	22.0894883230062	2	0	2	0	4	3	0	0
additive manufacturing LatinAmerica	201305	0.359580564245696	0.119860188081899	3	12.1450479436924	1	0	2	0	3	3	0	0
additive manufacturing LatinAmerica	201306	-2.08900756314131	-0.29842965187733	7	36.0118285439739	1	1	5	0	7	7	0	0
additive manufacturing LatinAmerica	201307	-1.86897985140484	-0.622993283801615	3	14.5089267023502	0	0	3	0	3	3	0	0
additive manufacturing LatinAmerica	201308	-3.11241686304892	-0.622483372609783	5	33.2902256835494	0	3	2	0	4	4	1	0
additive manufacturing LatinAmerica	201309	-0.0894360683364608	-0.0178872136672922	5	36.438978651153	2	0	3	0	4	3	1	0
additive manufacturing LatinAmerica	201310	-0.132949915290666	-0.022158319215111	6	27.6164498834774	1	0	5	0	5	5	1	0
additive manufacturing LatinAmerica	201311	-1.00144740441839	-0.500723702209195	2	13.961690124138	0	1	1	0	2	2	0	0
additive manufacturing LatinAmerica	201312	-1.53898600185153	-0.512995333950509	3	18.1402791047133	0	0	3	0	3	3	0	0
additive manufacturing LatinAmerica	201401	-0.695842294218423	-0.0579868578515353	12	77.9602242863663	2	0	10	0	10	9	2	0
additive manufacturing LatinAmerica	201402	-3.07058707161133	-0.614117414322267	5	25.2649153434283	0	0	5	0	5	4	0	0
additive manufacturing LatinAmerica	201403	-0.209439207375424	-0.0299198867679177	7	32.6335725053884	2	0	5	0	7	7	0	0
additive manufacturing LatinAmerica	201404	-1.13376727244998	-0.113376727244998	10	54.6405737754223	1	0	9	0	10	10	0	0
additive manufacturing LatinAmerica	201405	-8.67863403736789	-0.394483365334904	22	115.536091143017	4	10	8	0	20	19	2	0
additive manufacturing LatinAmerica	201406	1.5159591916485	0.25265986527475	6	36.1585189289058	3	1	2	0	6	5	0	0
additive manufacturing LatinAmerica	201407	-2.16820550536506	-0.309743643623579	7	43.8909189040235	0	0	7	0	4	4	1	0
additive manufacturing LatinAmerica	201408	-2.20291993319274	-0.36715332219879	6	30.6915287187928	0	0	6	0	6	6	0	0
additive manufacturing LatinAmerica	201409	-1.400316958171	-0.107716689090077	13	66.6413223654382	3	0	10	0	13	6	0	0
additive manufacturing LatinAmerica	201410	-3.00690727984416	-0.176876898814362	17	77.0997843018824	2	1	14	0	15	6	2	0
additive manufacturing LatinAmerica	201411	5.80323462392371	0.414516758851694	14	72.6927840016673	6	0	8	0	14	7	0	0
additive manufacturing NorthAmerica	201108	-0.132951043338296	-0.066475521669148	2	18.3494263886661	0	0	2	0	1	1	1	0
additive manufacturing NorthAmerica	201112	-0.382538864005411	-0.191269432002705	2	15.0631047628146	0	0	2	0	1	1	1	0
additive manufacturing NorthAmerica	201204	1.22144664419697	0.152680830524621	8	62.6274908732607	8	0	0	0	1	1	1	0
additive manufacturing NorthAmerica	201208	1.43363478596542	0.286726957193083	5	26.0061924105292	3	0	2	0	2	2	2	0
additive manufacturing NorthAmerica	201209	-0.111840768740373	-0.0559203843701865	2	13.5092081989759	0	0	2	0	1	1	1	0
additive manufacturing NorthAmerica	201211	-0.000190996106613626	-6.36653688712087E-05	3	23.1667042341288	0	0	3	0	1	1	1	0
additive manufacturing NorthAmerica	201212	0.777591723950616	0.0863990804389573	9	60.5411795803237	8	0	1	0	2	2	1	0
additive manufacturing NorthAmerica	201301	24.0488084561648	0.0404862095221629	594	3838.54760260028	165	27	402	0	515	266	53	2
additive manufacturing NorthAmerica	201302	68.4039740872757	0.103485588634305	661	4223.48816861779	272	49	340	0	522	305	88	8
additive manufacturing NorthAmerica	201303	-69.9959712868983	-0.146129376381834	479	3114.96073643461	98	70	311	0	396	257	59	1
additive manufacturing NorthAmerica	201304	57.2487825760347	0.0614257323777197	932	5891.36450977789	280	35	617	0	803	472	82	9
additive manufacturing NorthAmerica	201305	-28.0075569578156	-0.0306764041158988	913	8135.51582945578	188	51	674	0	582	358	51	265
additive manufacturing NorthAmerica	201306	14.6627640843916	0.014870957489241	986	6545.48819352898	270	50	666	0	844	418	98	38
additive manufacturing NorthAmerica	201307	0.470109326678427	0.000719922399201266	653	4336.97576168384	202	27	424	0	489	305	81	7
additive manufacturing NorthAmerica	201308	-111.741645971979	-0.135608793655314	824	5590.87264240705	183	107	534	0	571	377	131	13
additive manufacturing NorthAmerica	201309	-17.3102164499642	-0.0127656463495311	1356	9525.4293462952	340	36	980	0	793	429	242	153
additive manufacturing NorthAmerica	201310	56.3377135104962	0.0407358738326075	1383	9186.73437547771	420	59	904	0	924	445	227	59
additive manufacturing NorthAmerica	201311	-7.42890124355292	-0.00786127115719886	945	6429.9593309206	251	34	660	0	686	337	144	41
additive manufacturing NorthAmerica	201312	-645.233234036933	-0.2743338580089	2352	13795.1211390396	250	184	1918	0	1899	402	210	140
additive manufacturing NorthAmerica	201401	-646.690863162423	-0.143104860181992	4519	24456.1206156404	920	66	3533	0	3759	532	365	77
additive manufacturing NorthAmerica	201402	-399.287919727487	-0.112570600430642	3547	22448.8853701328	778	114	2655	0	2982	427	318	19
additive manufacturing NorthAmerica	201403	0.676881719528207	0.00017499527392146	3868	24798.1019502106	1052	114	2702	0	3270	443	326	18
additive manufacturing NorthAmerica	201404	-735.98048022146	-0.116544810803082	6315	41590.8871713464	1219	236	4860	0	5614	663	379	116
additive manufacturing NorthAmerica	201405	22.7264323837004	0.00381252011134045	5961	43820.042267954	1536	651	3774	0	4765	580	373	640
additive manufacturing NorthAmerica	201406	-898.284987110664	-0.129791213279969	6921	46159.1634512977	1718	52	5151	0	5893	622	480	190
additive manufacturing NorthAmerica	201407	-84.5597127833251	-0.0289885885441636	2917	20709.9543883286	656	19	2242	0	2018	614	371	176
additive manufacturing NorthAmerica	201408	50.7750143236762	0.0277762660413983	1828	12488.5268402826	562	59	1207	0	1232	500	302	61
additive manufacturing NorthAmerica	201409	27.5157430489865	0.0112769438725354	2440	18086.7055933023	800	50	1590	0	1473	578	373	185
additive manufacturing NorthAmerica	201410	152.097101154819	0.0586341947397145	2594	18209.2537848354	838	45	1711	0	1709	603	415	217
additive manufacturing NorthAmerica	201411	148.683420490757	0.0757815598831585	1962	14060.6327934385	588	26	1348	0	1355	539	264	145
additive manufacturing NorthAmerica	201412	-15.8681100647736	-0.0594311238381035	267	1881.34894583992	44	8	215	0	182	123	45	18
applepay Asia	201302	2.52642841452608	2.52642841452608	1	6.21660610108486	1	0	0	0	1	1	0	0
