"","Month","Prediction","L1","Win1","DWin1"
"1","201311","178.657069797447","24.342930202553","FALSE","FALSE"
"2","201312","144.070079092373","70.070079092373","TRUE","TRUE"
"3","201401","162.021077590014","49.021077590014","TRUE","TRUE"
"4","201402","156.003350385875","18.996649614125","TRUE","TRUE"
"5","201403","165.602309990506","26.397690009494","FALSE","TRUE"
"6","201404","167.06418605208","120.93581394792","FALSE","FALSE"
"7","201405","191.951736854985","25.048263145015","FALSE","FALSE"
"8","201406","184.198514842792","103.801485157208","FALSE","FALSE"
"9","201407","215.337223546033","6.33722354603299","TRUE","TRUE"
"10","201408","186.726835060849","44.726835060849","TRUE","TRUE"
"11","201409","179.169539668948","68.830460331052","FALSE","FALSE"
"12","201410","199.835159958076","14.164840041924","TRUE","TRUE"
