"","Month","Prediction","L1","Win1","DWin1"
"1","201311","191.989728582131","11.010271417869","TRUE","TRUE"
"2","201312","139.425805499595","65.4258054995946","TRUE","TRUE"
"3","201401","161.382889342416","48.3828893424162","TRUE","TRUE"
"4","201402","161.236475228802","13.7635247711977","TRUE","TRUE"
"5","201403","172.343888453225","19.6561115467748","FALSE","TRUE"
"6","201404","162.482179186872","125.517820813128","FALSE","FALSE"
"7","201405","191.251508647624","25.7484913523756","FALSE","FALSE"
"8","201406","185.767365559748","102.232634440252","FALSE","FALSE"
"9","201407","217.687699255894","8.68769925589388","TRUE","TRUE"
"10","201408","184.680215587002","42.6802155870018","TRUE","TRUE"
"11","201409","200.820411970042","47.1795880299578","FALSE","FALSE"
"12","201410","218.056091921041","4.05609192104083","TRUE","TRUE"
