"","Month","Prediction","L1","Win1","DWin1"
"1","201311","209.733537356119","6.73353735611857","TRUE","TRUE"
"2","201312","134.239757444854","60.2397574448539","TRUE","TRUE"
"3","201401","165.785815698871","52.7858156988707","TRUE","TRUE"
"4","201402","167.524141004361","7.47585899563882","TRUE","TRUE"
"5","201403","180.294673537546","11.7053264624536","FALSE","TRUE"
"6","201404","166.117410887452","121.882589112548","FALSE","FALSE"
"7","201405","203.916965119544","13.0830348804557","FALSE","FALSE"
"8","201406","193.742171958067","94.2578280419335","FALSE","FALSE"
"9","201407","237.134941353649","28.1349413536488","FALSE","FALSE"
"10","201408","189.52376616714","47.5237661671395","TRUE","TRUE"
"11","201409","217.520668073214","30.4793319267856","TRUE","TRUE"
"12","201410","235.256709322567","21.2567093225674","FALSE","FALSE"
